"UPH_SG","UPH_NM","UPH_CD","area_m","SUBS","area_mine","percent_mine"
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE ALUMÍNIO",31841561.3417969,0.003
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE BERÍLIO",708964847.811035,0.066
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE COBRE",17992998.4345703,0.002
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE FERRO",3379761173.16919,0.314
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE MANGANÊS",103682050.632568,0.01
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE OURO",903948603.243408,0.084
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE PLATINA",29943964.2004395,0.003
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE SILÍCIO",3744152.88964844,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"MINÉRIO DE TÂNTALO",3999630.19262695,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"OURO",115907517.382568,0.011
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"PEDRA CORADA",3848038.24853516,0
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"PEGMATITO",12498215.744873,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"QUARTZITO",256327142.95874,0.024
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"QUARTZO",126074939.287842,0.012
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"QUARTZO INDUSTRIAL",9900109.2019043,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"SERPENTINITO",8020941.71240234,0.001
"DOCE 03","SANTO ANTÔNIO",503,10765433655.7417,"TURMALINA",365053.764892578,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"ÁGUA MARINHA",73542944.1340332,0.003
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"ÁGUA MINERAL",1289192.26660156,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"APATITA",4777255.66479492,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"AREIA",173535878.56665,0.008
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"AREIA INDUSTRIAL",562765.223144531,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"ARENITO",7234422.54418945,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"ARGILA",151107581.035645,0.007
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"ARGILA REFRATÁRIA",10677308.0532227,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"BERILO",105120709.096924,0.005
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"CASCALHO",6159053.00170898,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"CASSITERITA",22949281.8071289,0.001
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"CAULIM",323032877.03418,0.015
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"CHARNOQUITO",15385633.8288574,0.001
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"CIANITA",8503493.70654297,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"COLUMBITA",1266834.61083984,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"DADO NÃO CADASTRADO",257571364.67627,0.012
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"FELDSPATO",133864873.10083,0.006
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"FERRO",44014683.8393555,0.002
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"FOSFATO",16091785.9836426,0.001
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"GEMA",1230481.54052734,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"GIBBSITA",440005.113525391,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"GNAISSE",65345651.0236816,0.003
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"GRANITO",4970103180.11719,0.231
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"KUNZITA",2639579.74291992,0
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"MINÉRIO DE BERÍLIO",866637591.271484,0.04
"DOCE 04","SUAÇUÍ GRANDE",504,21557959763.5186,"MINÉRIO DE COBRE",16865165.5744629,0.001
